"","speed_mean_s","speed_sd_s","speed_mean_f","speed_sd_f","start_date_u_s","start_date_sd_s","start_date_u_f","start_date_sd_f","max_mig_time_s","max_mig_time_f","bear_err_mean_s","bear_err_sd_s","bear_err_mean_f","bear_err_sd_f","max_energy_s","max_energy_f","recovery_rate_s","recovery_rate_f","season","start_date","goal_radius","mig_con","migr_timing_lat_s","migr_timing_lat_f","sum_err","in_range_err","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52"
"err_add",405.402836836826,411.119913184506,354.468223693765,386.070383900689,102.901675298938,4.62496267273472,273.177862360082,7.79743203506585,150,150,-16.3367094578567,16.8962222988134,8.56195245468493,35.3183760403323,2912.03853287517,3199.13377235316,0.0482310485480735,0.147166729924276,1,169,100,-0.411457567475736,-0.945047440938652,-0.659106563776731,366.092744076786,0.943020748606988,1.49578852000399,1.6367527586386,1.4886328906459,1.89638460923321,2.46055469769568,2.54889474047558,3.0787371991741,2.85601918939836,3.23820209961856,3.73795178055391,6.76540107144867,15.792344913617,18.6319217689671,25.332161759174,23.468701119704,13.5939072959663,10.0393800691047,8.1378532411435,7.18440682137131,5.89310061756316,4.47372499387658,3.36691719221078,2.33440721546205,1.95080537207403,1.82890740050142,2.01512647953809,3.17852631932325,4.03196512624555,5.25670134080896,5.66348870382983,6.72965373353153,8.12956370185595,9.79141026539703,11.5847415013568,12.9804928948551,13.6088244546816,14.4263346343594,14.3191041804344,15.1881455424933,13.1294379257892,13.8100992582015,11.1964279822009,5.23070373963079,3.79290246555697,4.11066085524301,4.38467906044502,3.23857356327085,2.13589234684403,1.36106853290142,1.16168755862618,1.21628862478864,1.18838394695412
"err_add.1",241.873897481456,208.759484404532,340.745914991035,73.1197101775521,99.4077249406173,5.10446347458849,274.123265594503,16.8430474264901,150,150,-2.83867319158512,26.9697409776471,-8.47913246481126,20.3809258909584,2540.94265485205,1365.66885097588,0.169509930635443,0.096457332979697,1,169,100,-0.91518826270476,-0.149669884238392,0.794148710090667,402.562639563072,0.924028021978022,1.5283479584559,1.65045540299992,1.35159176579815,1.82029612588244,2.42683520799672,2.59380632707148,3.18787973792511,3.03556861915938,3.63025438912773,3.85370371852493,6.73892422742658,15.7539414764473,18.5470497492579,24.7335078224136,22.8990003115802,15.1139085396925,14.5723346943389,11.8660741730033,8.50397692698414,6.23134961350963,4.56753153306761,3.32926744320053,2.40565593618487,2.25862030232373,2.09057366770079,2.12900186638792,3.14443415218188,3.95411087037174,5.05063679744437,5.54750518759629,6.83990518147365,8.33805368488389,10.2400071953597,11.9200020126013,13.0670476266424,13.2291260299715,13.4905616813192,12.7274486859452,14.4295881293987,15.7711539615692,20.8429889947238,20.8396621908939,11.8302986301637,5.8069568797988,4.38867687691933,4.12412522475636,3.09611246748835,2.06182563816795,1.2971328705044,1.15443527143995,1.26894415747437,1.28244162752031
"err_add.2",221.283214967356,297.987310420039,381.223876001253,137.948885824539,105.694332161232,17.9332616211834,270.452490080435,1.41406925920329,150,150,-14.0768706089846,38.6570558843251,-23.444129219622,26.2165049840838,1073.97976777933,7657.75103257742,0.292456367424579,0.147799548028245,1,169,100,-0.287731936201453,-0.827539702411741,0.886103321332484,362.358201868098,0.947644505494506,1.50055519604237,1.66973833888151,1.49709618401918,1.80074280858421,2.23639272284374,2.23954642555829,2.75545311524157,2.83292995734136,3.42757375013671,4.11617129448916,7.14530000270703,15.5872530623005,17.9678058408251,24.0413921815892,23.7143817842176,16.4793951456454,12.4823421465189,9.2752916069249,6.86159225043971,5.63479311380499,4.70141997974334,3.83647196790724,2.65376635471173,2.06709178855233,1.81564585965614,1.99556793661801,3.19319171763256,3.99345384768019,5.13923761511176,5.62946849364571,7.00997930592746,8.42827446908468,10.2302819538945,11.9827571189163,13.3443765551645,13.8794131302424,14.7819612835645,14.9488913188537,15.5313096319726,12.2413394733989,7.56750558315521,7.07834127698714,3.94826743212505,3.93946409965919,4.34018707605462,4.57896723393613,3.35152018975743,2.25659674858877,1.3949395527372,0.98222651223409,1.12110285142694,1.12943658104653
"err_add.3",583.924773377171,11.8551158539895,594.972551348699,1.31610007439085,89.4245907964234,15.4846429227552,232.106544871799,1.02651708963101,150,150,-18.5022912053849,33.737864762989,15.2777206900336,20.8917277243267,3587.80556587699,4318.99478711113,0.179629678883888,0.0788643859100381,1,169,100,0.433823992032558,-0.897525644861162,-0.317075473256409,388.753454675184,0.943667032967033,1.35289119337537,1.49363696107871,1.23009062816552,1.72483352506482,2.29308447043852,2.4331771832948,3.03564334630829,3.01339293668479,4.01984321506239,4.80687197467727,7.47531487688271,14.9802991038842,16.4248572047165,21.3952347695373,21.2153969348979,15.893705511938,13.7894527586978,10.7119391435185,7.65017244866721,5.88146479085542,4.43763814335719,3.35117759707821,2.42744537229294,2.04109779448756,1.92932756793758,1.98299345209032,3.03076058040439,3.82704119512499,5.13037678815405,5.48206213718141,6.65305741141893,8.06878510113599,8.95496511086951,17.3731387541667,21.8659293303789,21.7444254885877,20.6809541888173,18.5654640684974,16.8177751736193,11.9072378882987,7.57888572123267,7.371851604344,4.25084037847013,4.01562355654808,4.22919771481651,4.41960509485645,3.29716263224958,2.15996015527155,1.31680721567805,1.00521452875924,1.00001908498604,1.01533086632621
"err_add.4",391.538769215632,245.717852675202,497.643059780209,217.707985165173,94.1163101870638,17.7586579349369,254.460798152425,1.85515323093051,150,150,-1.34255090457737,56.1950508442561,11.8826564830865,23.3287076208388,2231.91817530604,6315.0018725468,0.0938557301454471,0.163985643117628,1,169,100,-0.2671839739196,-0.0418050563894212,0.571075469255447,365.203393156054,0.954671256247787,1.50339796534686,1.67577184403515,1.41263525945382,1.98047335411554,2.64443893022498,2.72223574609579,3.32080209137309,3.30560770595789,4.42899369528793,4.78323769821802,7.21650712749465,15.396729959359,17.6432087933321,23.8982921024762,23.7982073390421,17.4235016613141,13.9296293942709,10.6302653839228,7.27812616017939,5.25671255836564,3.87946146475269,3.08827732638798,2.28173415823318,1.97520214412809,1.72186697857908,1.90801977174057,3.15344240419921,3.99567649559399,5.18986125295817,5.4992044086281,6.66231296977596,8.11052381888144,9.9185909147682,11.5154608286716,12.9264543056542,12.8344849364895,12.9984365169506,17.8753293751227,16.7214046228637,11.8827200960617,7.52870134797696,7.55216304409612,4.03869871647177,3.72119993890576,4.11250214136505,4.29664925473523,3.0243337001923,1.84946830966542,1.18944725286924,1.11735006851701,1.18019512119557,1.20544469975707
"err_add.5",582.087146753977,391.776722695082,530.202137524731,301.643262599562,87.2867847179722,24.2237586991675,248.695940546359,9.8496591098289,150,150,-14.6776878406878,48.34501368897,-2.33232333581743,35.4343728625711,3472.51960076229,6647.64868725738,0.188620604026696,0.150271952496777,1,169,100,0.154118780512363,0.319147607311606,0.403220045380294,380.667311886722,0.924838805678917,1.49891986537699,1.63733678393463,1.45986448486235,1.92066449505665,2.60136618423209,2.94196470965769,4.04506556829158,4.51935971624371,6.06507739558988,7.19560161219479,8.70774855316618,15.0078269272125,17.0721284756551,23.4528904156119,23.8630710157701,18.9048528156062,15.7698905136369,12.3116783872927,8.53919027809822,6.23040428875976,4.38580873763055,3.15467601508658,2.06965754865942,1.79176837367226,1.69872778460778,1.86941924290234,3.01823666464935,3.86330722837521,5.14963307984382,5.58819855117191,6.91320957361734,8.28936388905127,9.86853992604332,11.3485225529248,12.4802161073842,13.9276740047242,16.2999507852057,16.7598337934312,16.1580234111989,11.826414631057,7.62748185597488,7.13811786439852,3.93626535360384,3.64276151291026,3.93837426264754,4.16378560775809,3.03620563413013,2.02484565717107,1.28375061010268,1.12988479648295,1.31815329193552,1.22160105211957
"err_add.6",360.679513490137,107.991427091154,640.407311996534,112.124815888225,84.165967590188,13.4002715003037,268.740679841273,17.2717717879541,150,150,3.40304675068557,28.206393582762,-0.0473600334687113,37.2529810142979,2009.86976689875,4813.25268845335,0.0824304472175016,0.193505067131936,1,169,100,0.71720818663016,-0.0364240817725658,0.970359239727259,364.304287647701,0.92222525933978,1.54779999508254,1.69804910450916,1.51587504466298,1.81258546496045,2.30765901208337,2.22554111365172,2.90210763990976,3.08437248016611,4.4204157003159,5.41907341519896,8.13208382848796,15.4956435845724,17.2147258904913,22.531893627462,22.4085731248573,16.0703469575017,13.9965466347495,10.9919599805761,8.10536553530229,6.14396495146346,4.64993069665422,3.52494340989812,2.55442913743095,2.1542844180967,1.9738673909718,2.08981310783365,3.3434710904732,4.22976301004763,5.35773662068891,5.65095362918676,6.82594686044223,8.20494331591048,9.98164560915274,11.5200542905305,12.5403280644148,12.6160827410764,12.9708913345127,12.6360886036695,14.0220085767286,11.7823753233584,9.69906141614082,8.88094412914218,5.02085382136471,4.38980136325811,4.58659429101254,4.68862265846602,3.46440029878426,2.17960041743836,1.36027251481589,0.94641567197226,1.18646887329112,1.24711187493162
"err_add.7",526.639950176331,557.629081744168,457.659399762716,142.903253558423,107.782717004996,15.5809007446541,268.937293549637,15.492171154125,150,150,-20.1653149310296,33.6320539235221,19.9055020181883,27.0238699743362,4379.80941642467,844.247523506778,0.107507842217978,0.0624628332524746,1,169,100,-0.00475394725799561,-0.576028742827475,0.833022898994386,459.479978613219,0.905637019230769,1.36198151122227,1.51193649329358,1.2512894645011,1.62062903858491,2.22639518939722,2.37806174226766,3.01208006361467,2.86146509850013,3.46865135097614,3.79977302172525,6.83286304800158,15.5746510676531,18.149665014001,24.6667342369487,24.5502350541865,18.8834417795966,15.1965028794721,11.2079704342128,7.58886162810508,5.70206852060586,4.38015408397059,3.29045835818979,2.34001739670092,2.06764682114124,1.97723786707063,2.11684144365143,3.24382173037979,4.13555395826258,5.27197483720738,5.67982791791512,6.94959819720058,8.34035159666686,10.1412375230466,11.7987404185164,13.0886977918372,13.4295261591376,13.8744888962741,13.6939220834932,15.6509946669948,16.5088070653932,24.7294917717073,30.8854993032485,23.8271633630237,16.6712733264263,11.329849869042,7.77072669793276,5.43079253102082,2.9370246704206,2.05764511213924,1.54105986467177,1.28909687592606,1.18519977774342
"err_add.8",178.119160241969,77.7377405073688,359.582744089932,401.001424065276,92.199974189976,5.43450356408685,266.804976453607,16.6728266222591,150,150,12.3442362755458,13.9318613866121,-13.9490929741524,27.8378779032649,4721.44731510922,7066.89071744054,0.293362115857412,0.2340617474789,1,169,100,-0.298346314579248,0.958258885890245,0.963822326622903,364.029884276639,0.940470879120879,1.56319783606149,1.68914803719019,1.3820460324003,1.84093283419056,2.34714925833118,2.46714410049027,2.98674627238833,2.77439576804268,3.26250740386254,3.54677716494466,6.6005373414558,15.7677394716102,18.4517970118061,23.9167436654036,23.6960510894635,18.5053749141907,15.1972972151589,11.5637053364602,8.17993312810913,6.0781930270999,4.48449616062647,3.18451243406492,2.11655456934567,1.89036198111279,1.92151821112334,2.13339385100857,3.08890993927601,3.91937365066766,5.02860332067727,5.40772023758597,6.74843291967984,8.17662102812773,10.0780543550636,11.6889354830383,12.802732999543,12.8834863449081,13.2911595501288,12.6577319130235,13.5329125266031,11.2258050948347,9.07318096680203,8.66651850269386,4.62637547408656,4.05463875902014,4.33127044358161,4.56192888448882,3.29778508348477,2.19583161438781,1.44180377912648,1.16671840967307,1.27267775637331,1.2624211238207
"err_add.9",124.481526311112,200.26516222492,309.161559162872,221.621679143257,100.320126819572,22.0310662477043,252.27817652484,6.55506098324686,150,150,-2.13866689578501,25.2614628789273,-1.07473597372232,8.03251762969936,1525.46160310037,2816.80285808678,0.130042504974932,0.137220235227763,1,169,100,-0.361623627599329,-0.138872089795768,0.776088458485901,363.12428412538,0.963852197802198,1.59340512875029,1.73732370099148,1.43984617714834,1.9908285040859,2.57941179949949,2.68599336880162,3.36998840483881,3.27191273236906,3.98149638504623,4.23005134318454,6.79580676276406,15.2718870659948,17.5363882099144,23.9390412283504,23.7949323931713,18.0024361240897,14.7388994671162,11.5959869841051,8.06562479023795,5.6613448124381,4.38591508717291,3.47285801329684,2.49710667000212,1.965330576159,1.75383547121312,2.10518331795685,3.40569711184276,4.31245702777187,5.51112029343169,5.84774750985633,7.08040151085387,8.52393553161229,10.3495005732539,12.020604034736,12.2710178571094,9.94971790339911,11.3750572056846,15.7817700258132,16.4573984745336,11.9197479177262,7.57790999746815,7.07104338528381,3.86849171298988,3.53068109747483,3.8410108279382,4.1215393971647,2.9209835846613,1.92920046656582,1.2390747854145,1.14374543132489,1.30683819429509,1.30475774847582
