"","speed_mean_s","speed_sd_s","speed_mean_f","speed_sd_f","start_date_u_s","start_date_sd_s","start_date_u_f","start_date_sd_f","max_mig_time_s","max_mig_time_f","bear_err_mean_s","bear_err_sd_s","bear_err_mean_f","bear_err_sd_f","max_energy_s","max_energy_f","recovery_rate_s","recovery_rate_f","season","start_date","goal_radius","mig_con","migr_timing_lat_s","migr_timing_lat_f","sum_err","in_range_err","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52"
"err_add",402.107461882999,244.800929009779,775.16932836613,406.580057748447,191.203541613723,32.0147792158141,276.535521923419,68.8914270130679,150,150,-8.73068677713573,21.7882971367142,-6.48024486832935,10.4594599762567,6523.18870205682,4331.15133466899,0.0366990773140476,0.0222075772861388,1,169,100,0.195053634233773,0.886632765177637,0.0460605067200959,647.329884658055,0.73359478021978,4.47863704021148,4.55457393276908,4.34384058501721,4.88198631951433,5.4599139886583,5.65856273340906,6.35215065103749,6.31769410519321,6.91964402446569,6.76677445525949,7.66167740929697,15.3826621437926,17.9689149851452,25.0838212145145,26.4561122811975,23.888362917862,22.2848929297828,22.9411229956202,23.8729515258659,23.7045921662588,23.0490743622782,22.0464488042121,20.868775680731,19.088951627035,4.51189107685482,4.7992649883892,5.50224310077312,6.20249765792253,7.21560296578793,7.60574567432506,8.33217177871044,9.58727381509723,11.3749386206244,13.0379457374678,14.1238445079641,14.688187478105,15.2325567013019,14.5214037397,14.9259597247185,13.9738739726811,18.5446443888153,20.9834608055593,17.0142575172092,13.7995463114643,12.1361458475801,10.8607612889356,9.58354480897904,7.63048064094164,6.1994133292215,5.45033154721369,4.97490526191043,4.48485249067348
"err_add.1",674.08609940754,195.116147721902,404.266646956508,117.641381407738,135.933919089613,25.8656694294549,226.020526407314,72.0163048500409,150,150,-4.58634856572204,16.4653990326084,6.85941769435889,22.9818069219348,4615.4958440359,8479.30070152003,0.248740288845681,0.104038061894226,1,169,100,0.746931536123157,-0.0460791443474591,0.454145665746182,535.855823330104,0.844307005494506,2.16815672230379,2.33205105466152,2.29841792175751,2.54000443499,3.11314271813177,3.34059020246247,3.78016307073829,3.4843663112846,4.41036108858016,4.84238345237959,7.20376405264765,15.7454816122459,18.473967648459,25.732624854201,27.2827352953287,24.1351831060882,21.892486699808,20.7179181846696,18.137164780577,15.3407212681145,12.8042869012907,10.1851856786696,8.02134548224902,6.64319504319001,6.06724228740387,8.33658764198202,8.9191594542175,9.63645774404479,10.4336041788946,11.0882213493161,12.1331822135662,13.0732056316243,14.5081330442973,15.5932557012005,16.5759118392783,16.9118951480776,17.2993351497016,16.1258793736731,15.7255744452154,11.8772997009135,10.5385816117149,11.1064374702427,8.15945291914374,6.46267944190132,6.43660315309223,6.19892241439872,5.03613819030783,3.70291989553429,2.80718183468779,2.28505234374749,2.20054803181159,1.99066353528645
"err_add.2",190.751825247031,91.7189703501122,443.313882731989,593.062200210586,140.759585010515,36.8803185270826,288.28828885844,47.3636784337055,150,150,-10.8988875090899,27.5779469649055,1.31634554411762,20.0741561187407,3565.27189982735,5551.16577732689,0.14732784985473,0.21786582907697,1,169,100,-0.997385331429541,-0.166137474123389,0.694725535809994,550.65465113714,0.832501373626374,2.5392672758221,2.68333692136065,2.59734712250513,2.90723316603295,3.64399752539407,3.88602165363075,4.52167386902298,5.25023243979554,5.86691126388396,5.93862156950683,7.86495595764987,15.6599048171709,17.9204005136671,24.8302125493935,26.1006580974056,22.9968066438172,20.6788423669794,20.4351799466626,19.3887748624199,17.6202366036062,15.50237641004,13.5338219731245,11.4912759366703,9.5848461886172,4.27309494953189,4.41630428824799,5.09558457252805,5.69458804928839,6.44300109124573,6.74883495495539,7.96609584490174,9.01679576933957,10.6656282761611,12.3508670021215,13.7436965069144,13.9809576860713,14.6827540445871,14.0357601617469,14.6246687658807,13.8805677763226,18.3394250896152,20.4565260239604,15.5639210712155,11.8968582490454,9.83784192617345,8.40504420899573,6.85115738416649,5.0919528774019,4.08766340981414,3.50169516711812,2.9971238257772,2.56330648983273
"err_add.3",565.016814036111,492.235127398981,629.356995217411,222.086309703558,108.648138238353,63.4316119734522,233.32581690904,5.17193889939779,150,150,-10.3385864111201,46.0761604700991,-0.239249048094385,7.19943532443749,4837.2553506402,4939.17887244053,0.466543399552381,0.273568855880562,1,169,100,0.74989000055939,-0.355021354742348,0.568135705776513,491.879509720383,0.890754718884487,2.76052569557286,3.06155046085977,2.96785789094652,3.88605789224138,4.69346237744606,5.0606806472435,6.14231622995155,6.52907078388386,7.75862606257695,8.20159824950397,8.81146747153236,15.0457720268893,17.5003502224111,24.2525167831675,25.006681160172,20.5105174046383,18.1404311150723,16.3261781790628,13.4684447379158,11.8055451040564,10.8251526029281,9.88620858918027,8.66409546411496,7.89923108476955,4.15647964369337,4.13976093181479,5.02574060745268,5.67496740563937,6.55887014968735,6.78679381383673,7.93983375659976,8.9519109822273,9.70323546755604,15.5919780162016,21.7898897713689,21.7815257800105,20.6492249903185,18.503776624847,16.7405863616126,12.0152425358429,7.98079933649388,8.31106254100738,4.26803323811043,3.79764100805522,4.22488929950192,4.6635547677861,3.46825902774738,2.33955989756976,1.54910913012943,1.79836849964579,2.03712134662022,2.22695655286862
"err_add.4",214.618052433575,336.50912671037,727.822111302927,227.683686164755,150.591227801107,31.460849951637,150.226360070384,60.2412466781562,150,150,16.6587538308268,23.6424867045113,13.269409429098,30.6887206478255,4064.30880697773,3225.64070196393,0.107804951815763,0.0552077765660006,1,169,100,-0.00633268337696791,0.664746279362589,0.749545759521425,643.05490122833,0.783130151098901,2.87341784965421,2.99541135915451,2.74154243428685,3.33538043561583,3.79547959285986,3.83204201518668,4.41795673323808,4.48379617981144,5.00947490784227,4.92725227923065,7.6513028039615,16.056710849356,18.5960060874519,25.9140851526385,27.1574263710995,24.5549607004395,22.5373104845434,22.5115115715237,21.3922888789655,19.5892244250951,17.0400449894864,14.4015234512281,11.7493538406738,9.2701799506588,12.0949138810633,15.8654987245353,17.0203748472332,18.1065379777418,18.707576036913,18.7539869368345,19.3454280769824,20.0378921614446,20.7450833274428,20.1836971195665,19.8696900188157,19.2871420378363,18.6691438036618,16.9876088190765,15.8035270003838,11.7656952741546,9.37437006288526,9.77201461806907,6.56651696902479,5.60199147973855,5.68711239904795,5.96095727326384,4.86175632126509,3.71705129042351,2.97017564141194,2.86491997045389,2.79845646018263,2.80209935487517
"err_add.5",421.645928917283,525.058401388484,732.032935912451,23.5255750875993,86.433736708701,40.9209592412838,215.176067155666,6.85801801770977,150,150,-23.258502624347,19.519613680475,6.44143602300436,34.7450055305265,6783.03596048042,2048.7793994953,0.179363936689329,0.143366071055039,1,169,100,-0.761880259029567,0.835959972348064,0.164564474020153,511.72847236694,0.871231456043956,1.41048759098686,1.74997269394169,1.75298857409108,2.50888090042263,3.96893436625003,4.93963830802574,6.15493108164002,6.85524017006417,8.67215868339077,9.39948166800275,10.3131326929096,15.8962488333437,18.182689690764,25.0400879209237,26.3801162922386,23.0267992872577,19.9278506433295,16.7618072138196,12.6542825943711,9.64222923415655,7.56332394371312,6.14171962756948,5.20022913754219,4.94012634638377,4.20316089889833,4.19133987099613,4.64937868121264,5.28056459887022,6.15529779761155,6.91556251854922,9.98546781362916,16.1277972427886,21.3574499976266,22.8497336976331,22.8455501349349,21.748217166021,20.7043705905655,18.6194187108462,16.8033183452774,12.0157015473478,8.26660101758786,8.12260248207048,5.30016354022505,4.48673839953252,4.4899383921719,4.66769726203818,3.64603497431471,2.63580478410015,2.00272075536802,1.65590025108302,1.5345153017632,1.38406809873851
"err_add.6",261.220736862489,275.909668907745,648.29654087723,526.335854205281,85.6165704584552,43.6493586267184,309.697805780765,38.8763622453652,150,150,2.85752202670822,26.9300474428844,-27.9142179742551,1.34898003030802,1367.63136929011,5110.90289882865,0.162277521645097,0.258997068587633,1,169,100,0.357787075918168,0.175241327378899,0.557781722396612,586.098791298716,0.750889423076923,4.71961276082517,4.93384746735271,4.95212885005333,5.93059421313319,6.83661622982786,7.62427996376772,9.12775805881878,10.01790278822,11.5741343952769,11.8880706518688,11.4931427167179,15.4707930880334,17.2345011375092,23.505676142483,24.1237060958263,19.4241668286417,16.9103854519763,14.3677769646362,11.1085567959423,9.34300648407822,7.92822549495592,7.12996076618245,6.15965265596024,5.63348526737362,3.75938637426886,3.73964944094194,4.67747607220847,5.33025150556736,6.20314253490657,6.53383835415886,7.67484971494053,8.93057246804212,10.5852163943169,12.1846313728686,13.4986921606065,14.0159133402396,14.8357937969273,14.5886656983881,16.5689961738048,16.751079927338,22.5615783675661,25.1044200235849,21.3092735638704,17.6998630258512,15.4786751160883,13.4310066458788,11.6681109506473,8.95613627099793,7.0212700106354,5.82385692305718,5.11032449597563,4.61813930557658
"err_add.7",286.046846619665,88.2857833218908,68.7094221750112,218.436268617703,134.259037158859,7.74632331418878,316.046843827763,8.03524101066808,150,150,2.44353978748235,30.8894293461346,3.42771292481716,62.868077857204,3575.96160864067,5624.35911931322,0.083253318788767,0.199231866262407,1,169,100,0.0154933826997876,0.189429964870214,0.900655434001237,667.51055265473,0.784657623626374,1.89604970987012,2.05314189889636,1.6950757313287,2.16164147451791,2.54912140333433,2.60071044318571,3.08880702003252,2.98458890473665,3.86644098678492,4.19895763975816,6.777626632948,15.8142096247913,18.6559201683983,26.1639927154167,28.2489762954806,26.4953355571948,25.299445415208,25.9196029805461,24.4793101575606,18.3203332962292,12.0386265640663,7.33773208797897,5.1488861608338,4.30125246518283,4.11843984197843,3.93722657900246,4.70438696110794,5.30062011611079,6.26931291996608,6.70141515112949,7.87067979729496,8.92716773822537,10.5919147609417,12.1269673280986,13.3873372913067,13.9799446254753,14.7974644615792,14.8833349053989,18.243996311874,20.0829396822135,28.8567931950763,33.9861814073571,31.2275408754146,28.5572295075378,27.7369183482974,26.4943306946701,22.0704623377919,13.9634613347731,7.85036172311699,4.37783419421242,2.54849394015874,1.82201129033941
"err_add.8",130.913881434144,131.31005521156,272.744476989208,50.1606384179898,192.143021269354,2.95980129811667,205.197037295107,9.92458839596414,150,150,-0.591136470076144,63.0532622271206,2.15076050597124,28.7267990868197,8413.08846151415,5152.22318179292,0.153896857444433,0.138618941640071,1,169,100,0.9764503268525,0.943316346500069,-0.246745021548122,661.030240357546,0.824340659340659,2.19591591958468,2.34520625114271,2.44598722067314,2.70261057661359,3.06427546526917,3.35427705849425,3.77204625778456,3.54658745979682,3.89853272464366,4.20858612669666,7.09322356496565,15.8331782565944,18.5954095465471,25.9298400080349,27.730467563488,25.9409980066758,25.034743193424,26.9923763194851,29.0930362016933,29.4394699628452,29.3166533909105,28.7589557903479,28.179661286722,27.3163320136656,3.72109948606489,3.61124347013287,4.47808880511423,5.59630773598134,7.4980899979681,11.1091895769479,16.0792341569557,20.7180022461748,23.6897328234538,23.4971443840626,22.7936291975864,21.4706518155998,20.341097422368,18.2950220117983,16.6644790137507,12.1239723172133,7.61071455900997,7.32267062366859,4.97373772239443,5.07505785792785,5.36994389473839,5.6304462215038,4.63392359328207,3.34256763664606,2.53495943486523,2.11059540222448,1.96532264290733,1.9849461411062
"err_add.9",733.808056205302,133.842421241749,368.981336341993,279.137147637067,70.1769944256034,36.7805806963081,353.24159144769,29.1486076033136,150,150,-3.0046060486089,6.63474390309815,-7.20065482239641,14.8028664070744,9437.63807034145,1187.99276811345,0.228501409800269,0.125934826327515,1,169,100,0.139956473372877,0.744270761497319,-0.979540463071316,718.97713027031,0.611312156593407,9.23214085029936,7.91594199053925,7.25606017429427,8.41448850142911,9.85615124677098,10.7931755095397,12.2515165783296,13.4083716197509,15.4062785671669,15.809630004215,15.3085677934189,16.4538252076373,17.5434805394801,23.4909371970537,24.1772662728824,19.5729256760376,16.8782567566236,13.7661432819344,10.3406262277276,7.85437445333106,6.33958094699612,5.48942590824786,4.82999622655302,4.32527654296578,3.90634191973355,3.78848904347799,4.35659331374237,4.93563314143308,5.85446501377404,6.09926726044733,7.34027553853131,8.65937440798128,10.3235029140187,11.6219035379592,12.9212929632269,13.5878974514103,14.5620010029322,14.6690648217999,18.4639082255379,20.047641391947,28.6787924821661,33.5017223305706,30.4879539260995,27.3615951835911,26.0009285615825,24.5440020444063,22.3550947065893,18.2424367927301,15.2820602022291,13.0437749192937,11.4728906904305,10.1537884094434
