param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,882.939179320461,621.257373293937,479.110715270858,359.034929180476,259.209664265295,203.693957556554,14.5495768052398,493.660292076098,0.457368382225831
speed_sd_s,885.06373713176,656.180278580744,502.125182973176,361.058774644235,261.711321892852,201.75573880693,26.7686696112015,528.893852584378,0.432667770797591
speed_mean_f,887.671497633233,646.47794487782,528.91310538768,362.495406032256,274.994322433308,226.735184942113,14.1912608331353,543.104366220816,0.40415671022681
speed_sd_f,881.393865265826,725.718245234641,551.708460171174,359.233506266972,269.904665654029,227.350479657757,20.4814772011821,572.189937372356,0.374050033800972
start_date_u_s,163.093002136602,34.6581591709633,18.8149849149017,91.5086452926244,82.9911405444537,82.4383834234914,72.6612977396277,91.4762826545294,0.884636467117438
start_date_sd_s,88.1405341151946,30.9136495002494,18.7010735066028,35.9835382576715,14.5470976039428,8.86827060120939,0.766343189571873,19.4674166961747,0.78782663737706
start_date_u_f,161.071760564337,25.358229386564,16.6103277620749,278.290600073879,263.478709386083,262.526397716972,254.057862284472,270.668190046547,0.896876226447899
start_date_sd_f,88.7780088894528,27.0213740553728,20.4140015801567,36.0836994800378,13.2971946965664,12.114915358969,2.18467784409319,22.5986794242499,0.77005564964206
max_mig_time_s,0,0,0,150,150,150,150,150,NaN
max_mig_time_f,0,0,0,150,150,150,150,150,NaN
bear_err_mean_s,39.1849073441208,35.6558169660448,33.0766847887964,-0.00580731491523555,0.350017378692516,0.35725800710231,-16.5967441098832,16.4799406789132,0.155882021148656
bear_err_sd_s,73.4753285980238,57.4125983950095,50.0330227934315,40.6293229870324,30.6788444432357,25.1339256918125,2.90035928670642,52.933382080138,0.319050030151519
bear_err_mean_f,39.3786718928159,37.3890296308612,35.962667072651,0.00700858009059283,-0.00620989373902755,-1.32913035243983,-18.9888409219528,16.9738261506982,0.0867475883763394
bear_err_sd_f,72.3901871848193,62.6581988994498,53.3585352978721,40.5866305118111,36.7597019600096,41.9300260760812,13.7102031926481,67.0687384905202,0.262903752940402
max_energy_s,7323.66768104515,7230.04009955281,7064.24641786587,4061.21856872276,4319.30360345359,4470.26498108084,1153.39916625705,8217.64558412292,0.0354223149489293
max_energy_f,7318.68524482535,7274.86210753437,7243.86898826607,4043.03315836396,4084.15145623203,3783.09896019952,497.93738139752,7741.80636966359,0.0102226361780188
recovery_rate_s,0.588761226981053,0.56671410247086,0.568101334174403,0.240051791302618,0.281594727041324,0.301401809924711,0.0802713863484836,0.648372720522887,0.0350904439013182
recovery_rate_f,0.590577581280423,0.577289732777339,0.563791782044229,0.23982893253832,0.259471109371484,0.253510284002488,0.0447768679974876,0.608568650041717,0.0453552591314412
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,197,197,197,197,197,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,0.950184703676496,0.945864256238565,0.940539203071967,0.498990140273236,0.492957584327087,0.475515744648874,0.0243789931293577,0.964918196201325,0.0101511848877465
mig_con_type,1,1,1,2,2,2,1,2,0
migr_timing_lat_s,0.951543173822574,0.952843155479058,0.946016462985426,0.503167427377775,0.55109262210317,0.576960253529251,0.0322773966472596,0.978293859632686,0.0058081556246633
migr_timing_lat_f,0.949894591624616,0.941524871392176,0.89266732451506,0.498899472178892,0.565271341241896,0.620306010823697,0.0555244486313313,0.948191773146391,0.0602459131930412
