param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,727.133060306907,702.976759729234,657.946225567754,406.54829203493,439.263698084131,443.627721773658,123.765789675492,781.712015243246,0.0951501706028192
speed_sd_s,591.700478907866,614.034521471983,599.431712866175,241.275042075394,262.41407392896,273.364702910117,37.1129457385845,636.544658604759,-0.0130661275998607
speed_mean_f,729.350432057258,708.304516759588,662.958154228277,404.578227061019,433.529064516851,439.999327223932,127.935053544489,790.893207772766,0.0910293254255167
speed_sd_f,590.634480451159,608.823278288778,595.340639921692,241.006921990945,277.038240954472,303.257045096501,34.3619012335847,629.702541155277,-0.00796797279247663
start_date_u_s,213.735535231619,24.1754943577539,14.5160678992875,112.618178670352,97.8016592883705,97.964148477645,91.3574458021242,105.873513701412,0.93208397525682
start_date_sd_s,88.4838291103558,21.4801064566658,13.9640362483593,35.7986271223842,9.27834038476885,6.50764577829939,0.539619387540561,14.5036556358999,0.84218544350128
start_date_u_f,224.727892766241,25.0854881919142,13.5874513796062,228.908829456203,282.168224170133,284.61466268401,277.877431739735,291.464883119341,0.939538206795987
start_date_sd_f,88.3378401748728,22.7523263800965,14.2179870185424,35.9104352674452,10.0803334911567,6.62891360765295,0.525936320380822,14.7439233389232,0.839049868206008
max_mig_time_s,0,0,0,150,150,150,150,150,NaN
max_mig_time_f,0,0,0,150,150,150,150,150,NaN
bear_err_mean_s,39.2189743398282,38.1823900844492,34.2673771048576,0.00397036196216071,-0.618595651262679,-0.709045845982482,-17.2658575832914,17.0015195215662,0.126255143545201
bear_err_sd_s,59.0444050742054,45.544687692123,35.942059054359,23.9011921939954,20.7304584332918,18.2182756417689,2.15185774702411,38.0939168013831,0.391270705341378
bear_err_mean_f,39.1387015658403,37.6590456865838,34.9088832609272,-0.0777910811206172,-0.403381840195057,-0.301911583346026,-17.6265425154594,17.2823407454678,0.10807252503759
bear_err_sd_f,58.962866557905,38.2867476722615,29.8109762740666,23.9193152925121,17.8273263478001,14.0219432928615,2.25919249887592,32.0701687729425,0.494411007904603
max_energy_s,9096.85373650639,8368.78042886178,8028.10622864318,5062.06495931604,5155.55062834804,4819.86406341226,1735.6508193395,9763.75704798268,0.117485400867141
max_energy_f,9132.86215479688,8180.54626970206,7926.60918914111,5075.36528648171,5542.36225546164,5781.22041244492,2217.04274700639,10143.6519361475,0.132078306363378
recovery_rate_s,0.332185003554341,0.327239573769281,0.322700937340642,0.157986402450322,0.162912648587813,0.144526188821222,0.0275029462273124,0.350203883567954,0.0285505549986346
recovery_rate_f,0.33181116544202,0.311191673774419,0.298505407261709,0.157911743947872,0.173882054832806,0.182546424323421,0.0579071655946664,0.356412572856375,0.100375640271007
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,197,197,197,197,197,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,1.90049018455902,1.8929136688821,1.87538643414155,4.79465816169977e-05,-0.00975029030814767,0.0654653138481081,-0.933096719905734,0.942289714235812,0.0132090923812374
migr_timing_lat_s,1.89675661829533,1.85034539923072,1.61669600951718,-0.00154428649693727,-0.247188063338399,-0.614745501428843,-0.985130676068366,0.631565333448816,0.147652369353453
migr_timing_lat_f,1.90117493484868,1.84828079352155,1.63472341320012,0.00316839711740613,0.200369054917246,0.514154062606394,-0.66339991746936,0.971323495730758,0.140150975464953
